Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1991,Quebec,Unattached individuals,Total income,Highest quintile,63800,45.6
1991,Quebec,Unattached individuals,After-tax income,Total of quintiles,22900,100
1991,Quebec,Unattached individuals,After-tax income,Lowest quintile,8000,7
1991,Quebec,Unattached individuals,After-tax income,Second quintile,13600,11.9
1991,Quebec,Unattached individuals,After-tax income,Third quintile,18500,16.2
1991,Quebec,Unattached individuals,After-tax income,Fourth quintile,27400,24
1991,Quebec,Unattached individuals,After-tax income,Highest quintile,46800,41
1991,Ontario,All family units,Market income,Total of quintiles,60700,100
1991,Ontario,All family units,Market income,Lowest quintile,6600,2.2
1991,Ontario,All family units,Market income,Second quintile,24100,7.9
1991,Ontario,All family units,Market income,Third quintile,48400,15.9
1991,Ontario,All family units,Market income,Fourth quintile,77600,25.6
1991,Ontario,All family units,Market income,Highest quintile,146800,48.4
1991,Ontario,All family units,Total income,Total of quintiles,69000,100
1991,Ontario,All family units,Total income,Lowest quintile,15900,4.6
1991,Ontario,All family units,Total income,Second quintile,35200,10.2
1991,Ontario,All family units,Total income,Third quintile,56900,16.5
1991,Ontario,All family units,Total income,Fourth quintile,84500,24.5
1991,Ontario,All family units,Total income,Highest quintile,152400,44.2
1991,Ontario,All family units,After-tax income,Total of quintiles,55300,100
1991,Ontario,All family units,After-tax income,Lowest quintile,15100,5.5
1991,Ontario,All family units,After-tax income,Second quintile,31300,11.3
1991,Ontario,All family units,After-tax income,Third quintile,47600,17.2
1991,Ontario,All family units,After-tax income,Fourth quintile,67900,24.6
1991,Ontario,All family units,After-tax income,Highest quintile,114400,41.4
1991,Ontario,"Economic families, two persons or more",Market income,Total of quintiles,75300,100
1991,Ontario,"Economic families, two persons or more",Market income,Lowest quintile,12800,3.4
1991,Ontario,"Economic families, two persons or more",Market income,Second quintile,40500,10.7
1991,Ontario,"Economic families, two persons or more",Market income,Third quintile,65000,17.2
1991,Ontario,"Economic families, two persons or more",Market income,Fourth quintile,93900,24.9
1991,Ontario,"Economic families, two persons or more",Market income,Highest quintile,164500,43.7
1991,Ontario,"Economic families, two persons or more",Total income,Total of quintiles,84200,100
1991,Ontario,"Economic families, two persons or more",Total income,Lowest quintile,26300,6.3
1991,Ontario,"Economic families, two persons or more",Total income,Second quintile,51200,12.2
1991,Ontario,"Economic families, two persons or more",Total income,Third quintile,73600,17.5
1991,Ontario,"Economic families, two persons or more",Total income,Fourth quintile,99800,23.7
1991,Ontario,"Economic families, two persons or more",Total income,Highest quintile,170000,40.4
1991,Ontario,"Economic families, two persons or more",After-tax income,Total of quintiles,67100,100
1991,Ontario,"Economic families, two persons or more",After-tax income,Lowest quintile,24900,7.4
1991,Ontario,"Economic families, two persons or more",After-tax income,Second quintile,44500,13.3
1991,Ontario,"Economic families, two persons or more",After-tax income,Third quintile,60500,18
1991,Ontario,"Economic families, two persons or more",After-tax income,Fourth quintile,79400,23.7
1991,Ontario,"Economic families, two persons or more",After-tax income,Highest quintile,126200,37.6
1991,Ontario,Unattached individuals,Market income,Total of quintiles,27300,100
1991,Ontario,Unattached individuals,Market income,Lowest quintile,4600,3.4
1991,Ontario,Unattached individuals,Market income,Second quintile,5800,4.2
1991,Ontario,Unattached individuals,Market income,Third quintile,17700,12.9
1991,Ontario,Unattached individuals,Market income,Fourth quintile,36900,27
1991,Ontario,Unattached individuals,Market income,Highest quintile,71800,52.5
1991,Ontario,Unattached individuals,Total income,Total of quintiles,34400,100
1991,Ontario,Unattached individuals,Total income,Lowest quintile,9600,5.6
1991,Ontario,Unattached individuals,Total income,Second quintile,18500,10.7
1991,Ontario,Unattached individuals,Total income,Third quintile,26800,15.6
1991,Ontario,Unattached individuals,Total income,Fourth quintile,42100,24.5
1991,Ontario,Unattached individuals,Total income,Highest quintile,74900,43.6
1991,Ontario,Unattached individuals,After-tax income,Total of quintiles,28300,100
1991,Ontario,Unattached individuals,After-tax income,Lowest quintile,9300,6.6
1991,Ontario,Unattached individuals,After-tax income,Second quintile,17600,12.5
1991,Ontario,Unattached individuals,After-tax income,Third quintile,23800,16.8
1991,Ontario,Unattached individuals,After-tax income,Fourth quintile,34600,24.4
1991,Ontario,Unattached individuals,After-tax income,Highest quintile,56100,39.7
1991,Manitoba,All family units,Market income,Total of quintiles,46800,100
1991,Manitoba,All family units,Market income,Lowest quintile,5300,2.3
1991,Manitoba,All family units,Market income,Second quintile,17900,7.7
1991,Manitoba,All family units,Market income,Third quintile,37300,15.9
1991,Manitoba,All family units,Market income,Fourth quintile,61400,26.2
1991,Manitoba,All family units,Market income,Highest quintile,112200,47.9
1991,Manitoba,All family units,Total income,Total of quintiles,54800,100
1991,Manitoba,All family units,Total income,Lowest quintile,14200,5.2
1991,Manitoba,All family units,Total income,Second quintile,28900,10.5
1991,Manitoba,All family units,Total income,Third quintile,45700,16.7
1991,Manitoba,All family units,Total income,Fourth quintile,68200,24.9
1991,Manitoba,All family units,Total income,Highest quintile,117200,42.7
1991,Manitoba,All family units,After-tax income,Total of quintiles,45200,100
1991,Manitoba,All family units,After-tax income,Lowest quintile,13800,6.1
1991,Manitoba,All family units,After-tax income,Second quintile,26500,11.7
1991,Manitoba,All family units,After-tax income,Third quintile,39400,17.4
1991,Manitoba,All family units,After-tax income,Fourth quintile,55900,24.8
1991,Manitoba,All family units,After-tax income,Highest quintile,90300,40
1991,Manitoba,"Economic families, two persons or more",Market income,Total of quintiles,58500,100
1991,Manitoba,"Economic families, two persons or more",Market income,Lowest quintile,10700,3.7
1991,Manitoba,"Economic families, two persons or more",Market income,Second quintile,29200,10
1991,Manitoba,"Economic families, two persons or more",Market income,Third quintile,51600,17.7
1991,Manitoba,"Economic families, two persons or more",Market income,Fourth quintile,74900,25.6
1991,Manitoba,"Economic families, two persons or more",Market income,Highest quintile,125900,43.1
1991,Manitoba,"Economic families, two persons or more",Total income,Total of quintiles,66800,100
1991,Manitoba,"Economic families, two persons or more",Total income,Lowest quintile,22600,6.8
1991,Manitoba,"Economic families, two persons or more",Total income,Second quintile,40700,12.2
1991,Manitoba,"Economic families, two persons or more",Total income,Third quintile,59400,17.8
1991,Manitoba,"Economic families, two persons or more",Total income,Fourth quintile,81000,24.2
1991,Manitoba,"Economic families, two persons or more",Total income,Highest quintile,130300,39
1991,Manitoba,"Economic families, two persons or more",After-tax income,Total of quintiles,54800,100
1991,Manitoba,"Economic families, two persons or more",After-tax income,Lowest quintile,22000,8
1991,Manitoba,"Economic families, two persons or more",After-tax income,Second quintile,36900,13.5
1991,Manitoba,"Economic families, two persons or more",After-tax income,Third quintile,50400,18.4
1991,Manitoba,"Economic families, two persons or more",After-tax income,Fourth quintile,65200,23.8
1991,Manitoba,"Economic families, two persons or more",After-tax income,Highest quintile,99500,36.3
1991,Manitoba,Unattached individuals,Market income,Total of quintiles,22300,100
1991,Manitoba,Unattached individuals,Market income,Lowest quintile,3500,3.2
1991,Manitoba,Unattached individuals,Market income,Second quintile,5500,4.9
1991,Manitoba,Unattached individuals,Market income,Third quintile,14200,12.8
1991,Manitoba,Unattached individuals,Market income,Fourth quintile,29800,26.7
1991,Manitoba,Unattached individuals,Market income,Highest quintile,58400,52.4
1991,Manitoba,Unattached individuals,Total income,Total of quintiles,29600,100
1991,Manitoba,Unattached individuals,Total income,Lowest quintile,8500,5.7
1991,Manitoba,Unattached individuals,Total income,Second quintile,17500,11.8
1991,Manitoba,Unattached individuals,Total income,Third quintile,23200,15.7
1991,Manitoba,Unattached individuals,Total income,Fourth quintile,36100,24.4
1991,Manitoba,Unattached individuals,Total income,Highest quintile,62900,42.5
1991,Manitoba,Unattached individuals,After-tax income,Total of quintiles,24900,100
1991,Manitoba,Unattached individuals,After-tax income,Lowest quintile,8200,6.6
1991,Manitoba,Unattached individuals,After-tax income,Second quintile,16700,13.4
1991,Manitoba,Unattached individuals,After-tax income,Third quintile,21100,17
1991,Manitoba,Unattached individuals,After-tax income,Fourth quintile,30100,24.2
1991,Manitoba,Unattached individuals,After-tax income,Highest quintile,48200,38.8
1991,Saskatchewan,All family units,Market income,Total of quintiles,45000,100
1991,Saskatchewan,All family units,Market income,Lowest quintile,4300,1.9
1991,Saskatchewan,All family units,Market income,Second quintile,16200,7.2
1991,Saskatchewan,All family units,Market income,Third quintile,34800,15.5
1991,Saskatchewan,All family units,Market income,Fourth quintile,59600,26.5
1991,Saskatchewan,All family units,Market income,Highest quintile,110000,48.9
1991,Saskatchewan,All family units,Total income,Total of quintiles,53000,100
1991,Saskatchewan,All family units,Total income,Lowest quintile,11700,4.4
1991,Saskatchewan,All family units,Total income,Second quintile,27300,10.3
1991,Saskatchewan,All family units,Total income,Third quintile,44100,16.6
1991,Saskatchewan,All family units,Total income,Fourth quintile,66500,25.1
1991,Saskatchewan,All family units,Total income,Highest quintile,115400,43.6
1991,Saskatchewan,All family units,After-tax income,Total of quintiles,43400,100
1991,Saskatchewan,All family units,After-tax income,Lowest quintile,11400,5.3
1991,Saskatchewan,All family units,After-tax income,Second quintile,25000,11.5
1991,Saskatchewan,All family units,After-tax income,Third quintile,38100,17.6
1991,Saskatchewan,All family units,After-tax income,Fourth quintile,54300,25
1991,Saskatchewan,All family units,After-tax income,Highest quintile,88100,40.6
1991,Saskatchewan,"Economic families, two persons or more",Market income,Total of quintiles,56600,100
1991,Saskatchewan,"Economic families, two persons or more",Market income,Lowest quintile,10700,3.8
1991,Saskatchewan,"Economic families, two persons or more",Market income,Second quintile,27800,9.8
1991,Saskatchewan,"Economic families, two persons or more",Market income,Third quintile,49500,17.5
1991,Saskatchewan,"Economic families, two persons or more",Market income,Fourth quintile,72400,25.6
1991,Saskatchewan,"Economic families, two persons or more",Market income,Highest quintile,122500,43.3
1991,Saskatchewan,"Economic families, two persons or more",Total income,Total of quintiles,64800,100
1991,Saskatchewan,"Economic families, two persons or more",Total income,Lowest quintile,20600,6.4
1991,Saskatchewan,"Economic families, two persons or more",Total income,Second quintile,39500,12.2
1991,Saskatchewan,"Economic families, two persons or more",Total income,Third quintile,57400,17.7
1991,Saskatchewan,"Economic families, two persons or more",Total income,Fourth quintile,78500,24.2
1991,Saskatchewan,"Economic families, two persons or more",Total income,Highest quintile,127800,39.5
1991,Saskatchewan,"Economic families, two persons or more",After-tax income,Total of quintiles,52800,100
1991,Saskatchewan,"Economic families, two persons or more",After-tax income,Lowest quintile,19900,7.6
1991,Saskatchewan,"Economic families, two persons or more",After-tax income,Second quintile,35600,13.5
1991,Saskatchewan,"Economic families, two persons or more",After-tax income,Third quintile,48500,18.4
1991,Saskatchewan,"Economic families, two persons or more",After-tax income,Fourth quintile,63200,24
1991,Saskatchewan,"Economic families, two persons or more",After-tax income,Highest quintile,96800,36.7
1991,Saskatchewan,Unattached individuals,Market income,Total of quintiles,20000,100
1991,Saskatchewan,Unattached individuals,Market income,Lowest quintile,2900,2.9
1991,Saskatchewan,Unattached individuals,Market income,Second quintile,4200,4.2
1991,Saskatchewan,Unattached individuals,Market income,Third quintile,8600,8.6
1991,Saskatchewan,Unattached individuals,Market income,Fourth quintile,25100,25.1
1991,Saskatchewan,Unattached individuals,Market income,Highest quintile,59200,59.2
1991,Saskatchewan,Unattached individuals,Total income,Total of quintiles,27600,100
1991,Saskatchewan,Unattached individuals,Total income,Lowest quintile,6000,4.3
1991,Saskatchewan,Unattached individuals,Total income,Second quintile,15400,11.2
1991,Saskatchewan,Unattached individuals,Total income,Third quintile,20200,14.6
1991,Saskatchewan,Unattached individuals,Total income,Fourth quintile,32700,23.7
1991,Saskatchewan,Unattached individuals,Total income,Highest quintile,63700,46.2
1991,Saskatchewan,Unattached individuals,After-tax income,Total of quintiles,23100,100
1991,Saskatchewan,Unattached individuals,After-tax income,Lowest quintile,5900,5.2
1991,Saskatchewan,Unattached individuals,After-tax income,Second quintile,15000,13
1991,Saskatchewan,Unattached individuals,After-tax income,Third quintile,19000,16.5
1991,Saskatchewan,Unattached individuals,After-tax income,Fourth quintile,27300,23.6
1991,Saskatchewan,Unattached individuals,After-tax income,Highest quintile,48100,41.7
1991,Alberta,All family units,Market income,Total of quintiles,58400,100
1991,Alberta,All family units,Market income,Lowest quintile,7700,2.6
1991,Alberta,All family units,Market income,Second quintile,24200,8.3
1991,Alberta,All family units,Market income,Third quintile,47100,16.1
1991,Alberta,All family units,Market income,Fourth quintile,74300,25.4
1991,Alberta,All family units,Market income,Highest quintile,138900,47.5
1991,Alberta,All family units,Total income,Total of quintiles,65000,100
1991,Alberta,All family units,Total income,Lowest quintile,14400,4.4
1991,Alberta,All family units,Total income,Second quintile,33600,10.3
1991,Alberta,All family units,Total income,Third quintile,53200,16.4
1991,Alberta,All family units,Total income,Fourth quintile,80000,24.6
1991,Alberta,All family units,Total income,Highest quintile,143900,44.3
1991,Alberta,All family units,After-tax income,Total of quintiles,52300,100
1991,Alberta,All family units,After-tax income,Lowest quintile,13800,5.3
1991,Alberta,All family units,After-tax income,Second quintile,30000,11.5
1991,Alberta,All family units,After-tax income,Third quintile,44800,17.1
1991,Alberta,All family units,After-tax income,Fourth quintile,64300,24.6
1991,Alberta,All family units,After-tax income,Highest quintile,108900,41.6
1991,Alberta,"Economic families, two persons or more",Market income,Total of quintiles,72400,100
1991,Alberta,"Economic families, two persons or more",Market income,Lowest quintile,13800,3.8
1991,Alberta,"Economic families, two persons or more",Market income,Second quintile,39400,10.9
1991,Alberta,"Economic families, two persons or more",Market income,Third quintile,62900,17.4
1991,Alberta,"Economic families, two persons or more",Market income,Fourth quintile,89500,24.7
1991,Alberta,"Economic families, two persons or more",Market income,Highest quintile,156400,43.2
1991,Alberta,"Economic families, two persons or more",Total income,Total of quintiles,79700,100
1991,Alberta,"Economic families, two persons or more",Total income,Lowest quintile,25000,6.3
1991,Alberta,"Economic families, two persons or more",Total income,Second quintile,47600,11.9
1991,Alberta,"Economic families, two persons or more",Total income,Third quintile,69400,17.4
1991,Alberta,"Economic families, two persons or more",Total income,Fourth quintile,94700,23.7
1991,Alberta,"Economic families, two persons or more",Total income,Highest quintile,162100,40.6
1991,Alberta,"Economic families, two persons or more",After-tax income,Total of quintiles,63900,100
1991,Alberta,"Economic families, two persons or more",After-tax income,Lowest quintile,23900,7.5
1991,Alberta,"Economic families, two persons or more",After-tax income,Second quintile,41600,13
1991,Alberta,"Economic families, two persons or more",After-tax income,Third quintile,57400,18
1991,Alberta,"Economic families, two persons or more",After-tax income,Fourth quintile,75300,23.6
1991,Alberta,"Economic families, two persons or more",After-tax income,Highest quintile,121400,38
1991,Alberta,Unattached individuals,Market income,Total of quintiles,28500,100
1991,Alberta,Unattached individuals,Market income,Lowest quintile,4800,3.4
1991,Alberta,Unattached individuals,Market income,Second quintile,8500,6
1991,Alberta,Unattached individuals,Market income,Third quintile,19400,13.6
1991,Alberta,Unattached individuals,Market income,Fourth quintile,37800,26.6
1991,Alberta,Unattached individuals,Market income,Highest quintile,71700,50.4
1991,Alberta,Unattached individuals,Total income,Total of quintiles,33400,100
1991,Alberta,Unattached individuals,Total income,Lowest quintile,7600,4.6
1991,Alberta,Unattached individuals,Total income,Second quintile,17600,10.6
1991,Alberta,Unattached individuals,Total income,Third quintile,26900,16.1
1991,Alberta,Unattached individuals,Total income,Fourth quintile,41700,24.9
1991,Alberta,Unattached individuals,Total income,Highest quintile,73300,43.9
1991,Alberta,Unattached individuals,After-tax income,Total of quintiles,27500,100
1991,Alberta,Unattached individuals,After-tax income,Lowest quintile,7500,5.4
1991,Alberta,Unattached individuals,After-tax income,Second quintile,16800,12.2
1991,Alberta,Unattached individuals,After-tax income,Third quintile,23500,17.1
1991,Alberta,Unattached individuals,After-tax income,Fourth quintile,34400,25.1
1991,Alberta,Unattached individuals,After-tax income,Highest quintile,55200,40.2
1991,British Columbia,All family units,Market income,Total of quintiles,53300,100
1991,British Columbia,All family units,Market income,Lowest quintile,6600,2.5
1991,British Columbia,All family units,Market income,Second quintile,19900,7.5
1991,British Columbia,All family units,Market income,Third quintile,42200,15.8
1991,British Columbia,All family units,Market income,Fourth quintile,70500,26.5
1991,British Columbia,All family units,Market income,Highest quintile,127100,47.7
1991,British Columbia,All family units,Total income,Total of quintiles,61000,100
1991,British Columbia,All family units,Total income,Lowest quintile,13500,4.4
1991,British Columbia,All family units,Total income,Second quintile,30000,9.8
1991,British Columbia,All family units,Total income,Third quintile,51000,16.7
1991,British Columbia,All family units,Total income,Fourth quintile,77400,25.4
1991,British Columbia,All family units,Total income,Highest quintile,133100,43.6
1991,British Columbia,All family units,After-tax income,Total of quintiles,49700,100
1991,British Columbia,All family units,After-tax income,Lowest quintile,12900,5.2
1991,British Columbia,All family units,After-tax income,Second quintile,27000,10.9
1991,British Columbia,All family units,After-tax income,Third quintile,43200,17.4
1991,British Columbia,All family units,After-tax income,Fourth quintile,62800,25.3
1991,British Columbia,All family units,After-tax income,Highest quintile,102400,41.2
1991,British Columbia,"Economic families, two persons or more",Market income,Total of quintiles,68600,100
1991,British Columbia,"Economic families, two persons or more",Market income,Lowest quintile,12600,3.7
1991,British Columbia,"Economic families, two persons or more",Market income,Second quintile,37700,11
1991,British Columbia,"Economic families, two persons or more",Market income,Third quintile,62900,18.3
1991,British Columbia,"Economic families, two persons or more",Market income,Fourth quintile,87400,25.5
1991,British Columbia,"Economic families, two persons or more",Market income,Highest quintile,142500,41.5
1991,British Columbia,"Economic families, two persons or more",Total income,Total of quintiles,77400,100
1991,British Columbia,"Economic families, two persons or more",Total income,Lowest quintile,25200,6.5
1991,British Columbia,"Economic families, two persons or more",Total income,Second quintile,49000,12.7
1991,British Columbia,"Economic families, two persons or more",Total income,Third quintile,70500,18.2
1991,British Columbia,"Economic families, two persons or more",Total income,Fourth quintile,93000,24
1991,British Columbia,"Economic families, two persons or more",Total income,Highest quintile,149100,38.6
1991,British Columbia,"Economic families, two persons or more",After-tax income,Total of quintiles,62600,100
1991,British Columbia,"Economic families, two persons or more",After-tax income,Lowest quintile,24000,7.7
1991,British Columbia,"Economic families, two persons or more",After-tax income,Second quintile,42800,13.7
1991,British Columbia,"Economic families, two persons or more",After-tax income,Third quintile,58200,18.6
1991,British Columbia,"Economic families, two persons or more",After-tax income,Fourth quintile,74300,23.7
1991,British Columbia,"Economic families, two persons or more",After-tax income,Highest quintile,113900,36.4
1991,British Columbia,Unattached individuals,Market income,Total of quintiles,24600,100
1991,British Columbia,Unattached individuals,Market income,Lowest quintile,4200,3.4
1991,British Columbia,Unattached individuals,Market income,Second quintile,8400,6.8
1991,British Columbia,Unattached individuals,Market income,Third quintile,14900,12.1
1991,British Columbia,Unattached individuals,Market income,Fourth quintile,30000,24.4
1991,British Columbia,Unattached individuals,Market income,Highest quintile,65700,53.3
1991,British Columbia,Unattached individuals,Total income,Total of quintiles,30600,100
1991,British Columbia,Unattached individuals,Total income,Lowest quintile,8200,5.4
1991,British Columbia,Unattached individuals,Total income,Second quintile,16400,10.7
1991,British Columbia,Unattached individuals,Total income,Third quintile,23500,15.3
1991,British Columbia,Unattached individuals,Total income,Fourth quintile,35600,23.3
1991,British Columbia,Unattached individuals,Total income,Highest quintile,69300,45.3
1991,British Columbia,Unattached individuals,After-tax income,Total of quintiles,25600,100
1991,British Columbia,Unattached individuals,After-tax income,Lowest quintile,8100,6.3
1991,British Columbia,Unattached individuals,After-tax income,Second quintile,15500,12.2
1991,British Columbia,Unattached individuals,After-tax income,Third quintile,20900,16.4
1991,British Columbia,Unattached individuals,After-tax income,Fourth quintile,30000,23.5
1991,British Columbia,Unattached individuals,After-tax income,Highest quintile,53200,41.6
1992,Canada,All family units,Market income,Total of quintiles,52500,100
1992,Canada,All family units,Market income,Lowest quintile,4900,1.9
1992,Canada,All family units,Market income,Second quintile,18700,7.1
1992,Canada,All family units,Market income,Third quintile,40900,15.6
1992,Canada,All family units,Market income,Fourth quintile,67900,25.9
1992,Canada,All family units,Market income,Highest quintile,129900,49.5
1992,Canada,All family units,Total income,Total of quintiles,61400,100
1992,Canada,All family units,Total income,Lowest quintile,13700,4.5
1992,Canada,All family units,Total income,Second quintile,30800,10
1992,Canada,All family units,Total income,Third quintile,50700,16.5
1992,Canada,All family units,Total income,Fourth quintile,76100,24.8
1992,Canada,All family units,Total income,Highest quintile,136000,44.3
1992,Canada,All family units,After-tax income,Total of quintiles,49900,100
1992,Canada,All family units,After-tax income,Lowest quintile,13300,5.3
1992,Canada,All family units,After-tax income,Second quintile,28000,11.2
1992,Canada,All family units,After-tax income,Third quintile,43100,17.3
1992,Canada,All family units,After-tax income,Fourth quintile,61600,24.7
1992,Canada,All family units,After-tax income,Highest quintile,103300,41.4
1992,Canada,"Economic families, two persons or more",Market income,Total of quintiles,65300,100
1992,Canada,"Economic families, two persons or more",Market income,Lowest quintile,9600,2.9
1992,Canada,"Economic families, two persons or more",Market income,Second quintile,32700,10
1992,Canada,"Economic families, two persons or more",Market income,Third quintile,56700,17.4
1992,Canada,"Economic families, two persons or more",Market income,Fourth quintile,82300,25.2
1992,Canada,"Economic families, two persons or more",Market income,Highest quintile,145200,44.5
1992,Canada,"Economic families, two persons or more",Total income,Total of quintiles,75100,100
1992,Canada,"Economic families, two persons or more",Total income,Lowest quintile,23300,6.2
1992,Canada,"Economic families, two persons or more",Total income,Second quintile,45200,12
1992,Canada,"Economic families, two persons or more",Total income,Third quintile,66100,17.6
1992,Canada,"Economic families, two persons or more",Total income,Fourth quintile,89900,23.9
1992,Canada,"Economic families, two persons or more",Total income,Highest quintile,151100,40.2
1992,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,60700,100
1992,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,22400,7.4
1992,Canada,"Economic families, two persons or more",After-tax income,Second quintile,40100,13.2
1992,Canada,"Economic families, two persons or more",After-tax income,Third quintile,55000,18.1
1992,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,72200,23.8
1992,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,113700,37.5
1992,Canada,Unattached individuals,Market income,Total of quintiles,24300,100
1992,Canada,Unattached individuals,Market income,Lowest quintile,3300,2.7
1992,Canada,Unattached individuals,Market income,Second quintile,5900,4.8
1992,Canada,Unattached individuals,Market income,Third quintile,12800,10.5
1992,Canada,Unattached individuals,Market income,Fourth quintile,31600,26.1
1992,Canada,Unattached individuals,Market income,Highest quintile,67700,55.8
1992,Canada,Unattached individuals,Total income,Total of quintiles,31300,100
1992,Canada,Unattached individuals,Total income,Lowest quintile,8200,5.2
1992,Canada,Unattached individuals,Total income,Second quintile,16500,10.5
1992,Canada,Unattached individuals,Total income,Third quintile,23200,14.8
1992,Canada,Unattached individuals,Total income,Fourth quintile,37600,24
1992,Canada,Unattached individuals,Total income,Highest quintile,71200,45.4
1992,Canada,Unattached individuals,After-tax income,Total of quintiles,26000,100
1992,Canada,Unattached individuals,After-tax income,Lowest quintile,8100,6.2
1992,Canada,Unattached individuals,After-tax income,Second quintile,15900,12.2
1992,Canada,Unattached individuals,After-tax income,Third quintile,21000,16.2
1992,Canada,Unattached individuals,After-tax income,Fourth quintile,31200,24
1992,Canada,Unattached individuals,After-tax income,Highest quintile,53800,41.4
1992,Newfoundland and Labrador,All family units,Market income,Total of quintiles,37900,100
1992,Newfoundland and Labrador,All family units,Market income,Lowest quintile,3100,1.7
1992,Newfoundland and Labrador,All family units,Market income,Second quintile,10400,5.5
1992,Newfoundland and Labrador,All family units,Market income,Third quintile,27000,14.3
1992,Newfoundland and Labrador,All family units,Market income,Fourth quintile,50100,26.5
1992,Newfoundland and Labrador,All family units,Market income,Highest quintile,98800,52.1
1992,Newfoundland and Labrador,All family units,Total income,Total of quintiles,52300,100
1992,Newfoundland and Labrador,All family units,Total income,Lowest quintile,13200,5
1992,Newfoundland and Labrador,All family units,Total income,Second quintile,27500,10.5
1992,Newfoundland and Labrador,All family units,Total income,Third quintile,44000,16.9
1992,Newfoundland and Labrador,All family units,Total income,Fourth quintile,65600,25.1
1992,Newfoundland and Labrador,All family units,Total income,Highest quintile,111000,42.5
1992,Newfoundland and Labrador,All family units,After-tax income,Total of quintiles,44100,100
1992,Newfoundland and Labrador,All family units,After-tax income,Lowest quintile,13000,5.9
1992,Newfoundland and Labrador,All family units,After-tax income,Second quintile,25900,11.7
1992,Newfoundland and Labrador,All family units,After-tax income,Third quintile,39000,17.7
1992,Newfoundland and Labrador,All family units,After-tax income,Fourth quintile,55100,25
1992,Newfoundland and Labrador,All family units,After-tax income,Highest quintile,87700,39.7
1992,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Total of quintiles,42500,100
1992,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Lowest quintile,4400,2.1
1992,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Second quintile,14100,6.7
1992,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Third quintile,31300,14.7
1992,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Fourth quintile,56400,26.5
1992,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Highest quintile,106500,50.1
1992,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Total of quintiles,58500,100
1992,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Lowest quintile,18100,6.2
1992,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Second quintile,33400,11.4
1992,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Third quintile,50700,17.3
1992,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Fourth quintile,72500,24.8
1992,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Highest quintile,117800,40.3
1992,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Total of quintiles,49300,100
1992,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Lowest quintile,17900,7.2
1992,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Second quintile,31100,12.6
1992,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Third quintile,44500,18.1
1992,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Fourth quintile,60500,24.5
1992,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Highest quintile,92500,37.5
1992,Newfoundland and Labrador,Unattached individuals,Market income,Total of quintiles,18700,100
1992,Newfoundland and Labrador,Unattached individuals,Market income,Lowest quintile,3000,3.2
1992,Newfoundland and Labrador,Unattached individuals,Market income,Second quintile,1700,1.8
1992,Newfoundland and Labrador,Unattached individuals,Market income,Third quintile,6900,7.4
1992,Newfoundland and Labrador,Unattached individuals,Market income,Fourth quintile,23700,25.5
1992,Newfoundland and Labrador,Unattached individuals,Market income,Highest quintile,58000,62.2
1992,Newfoundland and Labrador,Unattached individuals,Total income,Total of quintiles,26500,100
1992,Newfoundland and Labrador,Unattached individuals,Total income,Lowest quintile,6500,4.9
1992,Newfoundland and Labrador,Unattached individuals,Total income,Second quintile,14600,11
1992,Newfoundland and Labrador,Unattached individuals,Total income,Third quintile,18600,14
1992,Newfoundland and Labrador,Unattached individuals,Total income,Fourth quintile,32900,24.8
1992,Newfoundland and Labrador,Unattached individuals,Total income,Highest quintile,60000,45.2
1992,Newfoundland and Labrador,Unattached individuals,After-tax income,Total of quintiles,22700,100
1992,Newfoundland and Labrador,Unattached individuals,After-tax income,Lowest quintile,6500,5.7
1992,Newfoundland and Labrador,Unattached individuals,After-tax income,Second quintile,14400,12.7
1992,Newfoundland and Labrador,Unattached individuals,After-tax income,Third quintile,17800,15.7
1992,Newfoundland and Labrador,Unattached individuals,After-tax income,Fourth quintile,27800,24.5
1992,Newfoundland and Labrador,Unattached individuals,After-tax income,Highest quintile,46900,41.3
1992,Prince Edward Island,All family units,Market income,Total of quintiles,40000,100
1992,Prince Edward Island,All family units,Market income,Lowest quintile,5100,2.5
1992,Prince Edward Island,All family units,Market income,Second quintile,16300,8.1
